SceneNumber,CanonicalNames,SceneLengths
1,RECEPTIONIST,6
1,SECOND OLD WOMAN,6
4,MARY,3
4,HOWARD MIERZWIAK,3
4,CLEMENTINE,3
5,KRUCZYNSKI,12
5,HOWARD MIERZWIAK,12
5,MARY,12
5,STAN,12
5,COLE,12
5,CLEMENTINE,12
6,HOWARD MIERZWIAK,9
6,CLEMENTINE,9
7,JOEL BARISH,1
8,JOEL BARISH,1
9,NAOMI,5
9,JOEL BARISH,5
10,WAITRESS,5
10,CLEMENTINE,5
10,JOEL BARISH,5
11,JOEL BARISH,0
12,CLEMENTINE,1
12,JOEL BARISH,1
13,TOM WAITS,42
13,PINK ERASER,42
13,AW,42
13,AH,42
13,STEPHEN DIXON,42
13,NICE,42
13,GREEN REVOLUTION,42
13,CLEMENTINE,42
13,JOEL BARISH,42
14,CLEMENTINE,0
15,JOEL BARISH,0
15,CLEMENTINE,0
17,JOEL BARISH,14
17,CLEMENTINE,14
18,PATRICK,52
18,ROBERT FROST,52
18,MARY,52
18,STEPHEN DIXON,52
18,JOSEPH,52
18,CLEMENTINE,52
18,JOEL BARISH,52
18,BRIAN ENO,52
18,PAUL SIMON,52
21,PINK ERASER,12
21,JOEL BARISH,12
22,PATRICK,11
22,JOEL BARISH,11
22,CLEMENTINE,11
23,JOEL BARISH,2
25,MARY,1
25,JOEL BARISH,1
26,MARY,1
27,PATRICK,11
27,AH,11
27,HOWARD MIERZWIAK,11
27,STAN,11
27,JOEL BARISH,11
28,PATRICK,2
28,STAN,2
29,AH,2
29,HOWARD MIERZWIAK,2
29,STAN,2
30,NAOMI,1
31,JOEL BARISH,0
32,MARY,1
32,HOWARD MIERZWIAK,1
32,JOEL BARISH,1
33,MARY,1
33,JOEL BARISH,1
34,PATRICK,3
34,HOWARD MIERZWIAK,3
34,JOEL BARISH,3
35,PATRICK,3
35,STAN,3
36,HOWARD MIERZWIAK,1
37,JOEL BARISH,3
37,CARMEN,3
38,JOEL BARISH,0
39,JOEL BARISH,1
39,CARMEN,1
40,JOEL BARISH,1
41,VAGUE RECORDED,8
41,ROB,8
41,CARRIE,8
41,JOEL BARISH,8
42,CARRIE,1
42,JOEL BARISH,1
43,CARRIE,2
43,JOEL BARISH,2
46,MARY,2
46,STAN,2
47,PATRICK,4
47,STAN,4
47,MARY,4
48,CLEMENTINE,8
48,JOEL BARISH,8
50,JOEL BARISH,2
50,CLEMENTINE,2
51,PATRICK,1
51,STAN,1
51,JOEL BARISH,1
52,PATRICK,2
52,STAN,2
53,PATRICK,2
53,STAN,2
54,PATRICK,3
54,STAN,3
54,JOEL BARISH,3
55,CLEMENTINE,1
55,JOEL BARISH,1
56,JOEL BARISH,9
56,CLEMENTINE,9
57,JOEL BARISH,5
57,CLEMENTINE,5
57,MARK,5
58,PATRICK,14
58,MARY,14
58,STAN,14
58,HOWARD MIERZWIAK,14
58,WINSTON CHURCHILL,14
59,CLEMENTINE,3
59,JOEL BARISH,3
60,PATRICK,4
60,JOEL BARISH,4
60,CLEMENTINE,4
61,PATRICK,3
61,STAN,3
61,MARY,3
62,CLEMENTINE,6
62,JOEL BARISH,6
63,MARY,4
63,STAN,4
63,HOWARD MIERZWIAK,4
63,JOEL BARISH,4
64,PATRICK,0
65,PATRICK,6
65,STAN,6
65,CLEMENTINE,6
65,JOEL BARISH,6
66,STAN,1
66,MARY,1
67,PATRICK,2
67,STAN,2
67,CLEMENTINE,2
67,JOEL BARISH,2
68,HOWARD MIERZWIAK,5
68,JOEL BARISH,5
69,PATRICK,3
69,CLEMENTINE,3
70,STAN,0
70,MARY,0
71,CLEMENTINE,3
71,JOEL BARISH,3
72,JOEL BARISH,4
72,CLEMENTINE,4
73,CLEMENTINE,5
73,JOEL BARISH,5
74,STAN,7
74,MARY,7
74,HOWARD MIERZWIAK,7
74,LISTEN,7
75,PATRICK,3
75,HOWARD MIERZWIAK,3
75,STAN,3
76,MARY,2
76,STAN,2
77,GROSS,8
77,JOEL BARISH,8
77,CLEMENTINE,8
78,PATRICK,1
78,CLEMENTINE,1
79,MARY,8
79,HOWARD MIERZWIAK,8
79,STAN,8
80,JOEL BARISH,2
80,CLEMENTINE,2
80,HOUND,2
81,JOEL BARISH,0
82,HOWARD MIERZWIAK,2
82,MARY,2
82,STAN,2
83,CLEMENTINE,3
83,JOEL BARISH,3
84,STAN,1
84,HOWARD MIERZWIAK,1
84,MARY,1
85,JOE EARLY,6
85,CLEMENTINE,6
85,JOEL BARISH,6
86,HOWARD MIERZWIAK,1
86,STAN,1
87,CLEMENTINE,1
87,JOEL BARISH,1
88,CLEMENTINE,3
88,JOEL BARISH,3
89,PATRICK,3
89,CLEMENTINE,3
89,JOEL BARISH,3
90,BOYS,5
90,JOEL BARISH,5
90,CLEMENTINE,5
91,ALEXANDER POPE,17
91,HOWARD MIERZWIAK,17
91,MARY,17
91,STAN,17
92,STAN,2
92,MARY,2
92,HOWARD MIERZWIAK,2
92,JOEL BARISH,2
94,MARY,1
94,HOWARD MIERZWIAK,1
95,HOWARD MIERZWIAK,6
95,MARY,6
95,HOLLIS,6
95,STAN,6
96,PATRICK,1
96,CLEMENTINE,1
97,MARY,0
98,STAN,0
99,STEPHEN DIXON,4
99,CLEMENTINE,4
99,JOEL BARISH,4
100,NAOMI,5
100,CHINESE,5
100,JOEL BARISH,5
100,CLEMENTINE,5
102,NAOMI,3
102,JOEL BARISH,3
102,CLEMENTINE,3
103,JOEL BARISH,1
103,CLEMENTINE,1
