SceneNumber,CanonicalNames,SceneLengthsEights
1,RECEPTIONIST,6,DAY
1,SECOND OLD WOMAN,6,DAY
4,MARY,3,DAY
4,HOWARD MIERZWIAK,3,DAY
4,CLEMENTINE,3,DAY
5,KRUCZYNSKI,12,CONTINUOUS
5,HOWARD MIERZWIAK,12,CONTINUOUS
5,MARY,12,CONTINUOUS
5,STAN,12,CONTINUOUS
5,COLE,12,CONTINUOUS
5,CLEMENTINE,12,CONTINUOUS
6,HOWARD MIERZWIAK,9,CONTINUOUS
6,CLEMENTINE,9,CONTINUOUS
7,JOEL BARISH,1,
8,JOEL BARISH,1,LATER
9,NAOMI,5,DAY
9,JOEL BARISH,5,DAY
10,WAITRESS,5,DAY
10,CLEMENTINE,5,DAY
10,JOEL BARISH,5,DAY
11,JOEL BARISH,1,DAY
12,CLEMENTINE,1,LATE AFTERNOON
12,JOEL BARISH,1,LATE AFTERNOON
13,TOM WAITS,42,A BIT LATER
13,PINK ERASER,42,A BIT LATER
13,AW,42,A BIT LATER
13,AH,42,A BIT LATER
13,STEPHEN DIXON,42,A BIT LATER
13,NICE,42,A BIT LATER
13,GREEN REVOLUTION,42,A BIT LATER
13,CLEMENTINE,42,A BIT LATER
13,JOEL BARISH,42,A BIT LATER
14,CLEMENTINE,1,LATER
15,JOEL BARISH,1,LATER
15,CLEMENTINE,1,LATER
17,JOEL BARISH,14,MOMENTS LATER
17,CLEMENTINE,14,MOMENTS LATER
18,PATRICK,52,A FEW MINUTES LATER
18,ROBERT FROST,52,A FEW MINUTES LATER
18,MARY,52,A FEW MINUTES LATER
18,STEPHEN DIXON,52,A FEW MINUTES LATER
18,JOSEPH,52,A FEW MINUTES LATER
18,CLEMENTINE,52,A FEW MINUTES LATER
18,JOEL BARISH,52,A FEW MINUTES LATER
18,BRIAN ENO,52,A FEW MINUTES LATER
18,PAUL SIMON,52,A FEW MINUTES LATER
21,PINK ERASER,12,NIGHT
21,JOEL BARISH,12,NIGHT
22,PATRICK,11,NIGHT
22,JOEL BARISH,11,NIGHT
22,CLEMENTINE,11,NIGHT
23,JOEL BARISH,2,NIGHT
25,MARY,1,DAY
25,JOEL BARISH,1,DAY
26,MARY,1,DAY
27,PATRICK,11,DAY
27,AH,11,DAY
27,HOWARD MIERZWIAK,11,DAY
27,STAN,11,DAY
27,JOEL BARISH,11,DAY
28,PATRICK,2,NIGHT
28,STAN,2,NIGHT
29,AH,2,DAY
29,HOWARD MIERZWIAK,2,DAY
29,STAN,2,DAY
30,NAOMI,1,DAY
31,JOEL BARISH,1,DAY
32,MARY,1,DAY
32,HOWARD MIERZWIAK,1,DAY
32,JOEL BARISH,1,DAY
33,MARY,1,DAY
33,JOEL BARISH,1,DAY
34,PATRICK,3,DAY
34,HOWARD MIERZWIAK,3,DAY
34,JOEL BARISH,3,DAY
35,PATRICK,3,NIGHT
35,STAN,3,NIGHT
36,HOWARD MIERZWIAK,1,DAY
37,JOEL BARISH,3,DAY
37,CARMEN,3,DAY
38,JOEL BARISH,1,NIGHT
39,JOEL BARISH,1,DAY
39,CARMEN,1,DAY
40,JOEL BARISH,1,NIGHT
41,VAGUE RECORDED,8,NIGHT
41,ROB,8,NIGHT
41,CARRIE,8,NIGHT
41,JOEL BARISH,8,NIGHT
42,CARRIE,1,NIGHT
42,JOEL BARISH,1,NIGHT
43,CARRIE,2,NIGHT
43,JOEL BARISH,2,NIGHT
46,MARY,2,DAY
46,STAN,2,DAY
47,PATRICK,4,NIGHT
47,STAN,4,NIGHT
47,MARY,4,NIGHT
48,CLEMENTINE,8,NIGHT
48,JOEL BARISH,8,NIGHT
50,JOEL BARISH,2,CONTINUOUS
50,CLEMENTINE,2,CONTINUOUS
51,PATRICK,1,CONTINUOUS
51,STAN,1,CONTINUOUS
51,JOEL BARISH,1,CONTINUOUS
52,PATRICK,2,NIGHT
52,STAN,2,NIGHT
53,PATRICK,2,NIGHT
53,STAN,2,NIGHT
54,PATRICK,3,NIGHT
54,STAN,3,NIGHT
54,JOEL BARISH,3,NIGHT
55,CLEMENTINE,1,NIGHT
55,JOEL BARISH,1,NIGHT
56,JOEL BARISH,9,DAY
56,CLEMENTINE,9,DAY
57,JOEL BARISH,5,NIGHT
57,CLEMENTINE,5,NIGHT
57,MARK,5,NIGHT
58,PATRICK,14,NIGHT
58,MARY,14,NIGHT
58,STAN,14,NIGHT
58,HOWARD MIERZWIAK,14,NIGHT
58,WINSTON CHURCHILL,14,NIGHT
59,CLEMENTINE,3,NIGHT
59,JOEL BARISH,3,NIGHT
60,PATRICK,4,NIGHT
60,JOEL BARISH,4,NIGHT
60,CLEMENTINE,4,NIGHT
61,PATRICK,3,NIGHT
61,STAN,3,NIGHT
61,MARY,3,NIGHT
62,CLEMENTINE,6,NIGHT
62,JOEL BARISH,6,NIGHT
63,MARY,4,NIGHT
63,STAN,4,NIGHT
63,HOWARD MIERZWIAK,4,NIGHT
63,JOEL BARISH,4,NIGHT
64,PATRICK,1,NIGHT
65,PATRICK,6,CONTINUOUS
65,STAN,6,CONTINUOUS
65,CLEMENTINE,6,CONTINUOUS
65,JOEL BARISH,6,CONTINUOUS
66,STAN,1,CONTINUOUS
66,MARY,1,CONTINUOUS
67,PATRICK,2,CONTINUOUS
67,STAN,2,CONTINUOUS
67,CLEMENTINE,2,CONTINUOUS
67,JOEL BARISH,2,CONTINUOUS
68,HOWARD MIERZWIAK,5,NIGHT
68,JOEL BARISH,5,NIGHT
69,PATRICK,3,NIGHT
69,CLEMENTINE,3,NIGHT
70,STAN,1,NIGHT
70,MARY,1,NIGHT
71,CLEMENTINE,3,DAY
71,JOEL BARISH,3,DAY
72,JOEL BARISH,4,DAY
72,CLEMENTINE,4,DAY
73,CLEMENTINE,5,DAY
73,JOEL BARISH,5,DAY
74,STAN,7,NIGHT
74,MARY,7,NIGHT
74,HOWARD MIERZWIAK,7,NIGHT
74,LISTEN,7,NIGHT
75,PATRICK,3,CONTINUOUS
75,HOWARD MIERZWIAK,3,CONTINUOUS
75,STAN,3,CONTINUOUS
76,MARY,2,NIGHT
76,STAN,2,NIGHT
77,GROSS,8,DAY
77,JOEL BARISH,8,DAY
77,CLEMENTINE,8,DAY
78,PATRICK,1,NIGHT
78,CLEMENTINE,1,NIGHT
79,MARY,8,NIGHT
79,HOWARD MIERZWIAK,8,NIGHT
79,STAN,8,NIGHT
80,JOEL BARISH,2,DAY
80,CLEMENTINE,2,DAY
80,HOUND,2,DAY
81,JOEL BARISH,1,NIGHT
82,HOWARD MIERZWIAK,2,NIGHT
82,MARY,2,NIGHT
82,STAN,2,NIGHT
83,CLEMENTINE,3,NIGHT
83,JOEL BARISH,3,NIGHT
84,STAN,1,NIGHT
84,HOWARD MIERZWIAK,1,NIGHT
84,MARY,1,NIGHT
85,JOE EARLY,6,AFTERNOON
