DayNumber,SceneNumbers,EightsUsed,Time,Location
1,1:2:3:162:160:121:122:125:17:44:81:83:103:126:62,40,DAY_NIGHT,BEACH/CLEMENTINE'S APARTMENT/TUBE/TILED HALLWAY/CAR/PUBLISHING HOUSE RECEPTION AREA/
2,4:25:32:158:5:133:151:132,40,DAY,INNER OFFICE AREA/OFFICE/COMMUTER TRAIN STATION/WAITING ROOM/
3,6:7:139:8:9:11:87:10:12:14:15:16,40,DAY_NIGHT,MONTAUK TRAIN STATION/BEACH/TRAIN STATION/OFFICE/DINER/MONTAUK TRAIN STATION PLATFORM/COMMUTER TRAIN STATION/TRAIN/
4,123,46,NIGHT,BEACH/
5,13,54,DAY,TRAIN/
6,144:148:65:67:69:104:138:141:19:23,40,DAY_NIGHT,CLEMENTINE'S APARTMENT/JOEL'S CAR/
7,18,64,NIGHT,CLEMENTINE'S APARTMENT/
8,43:50:20:21:28:35:38:40:42:52:55,40,NIGHT,JOEL'S APARTMENT BUILDING/JOEL'S CAR/JOEL'S APARTMENT/
9,95:128:92:47:48:54:70:76:86,40,DAY_NIGHT,JOEL'S APARTMENT BUILDING/JOEL'S APARTMENT/
10,30:72:109:117:145:147:106:108:74,40,DAY_NIGHT,JOEL'S BEDROOM/JOEL'S APARTMENT/
11,58:61:63:66:49:51:53:64,39,NIGHT,STREET/JOEL'S APARTMENT/
12,142:22:41,40,NIGHT,BOOKSTORE/ROB AND CARRIE'S LIVING ROOM/JOEL'S APARTMENT/
13,24:45:26:31:27:29:33:34:36:135:39,40,DAY,LABORATORY/MIERZWIAK'S OFFICE/OFFICE HALL/JOEL'S OFFICE/HALLWAY/NEW YORK STREET/LAB ROOM/
14,150:37:46:56:57:59:84,40,DAY_NIGHT,JOEL'S BEDROOM/BAR/MIERZWIAK'S OFFICE/JOEL'S OFFICE/ZOO/ELEVATOR/
15,94:110:127:131:79:82:98:116:137,36,DAY_NIGHT,JOEL'S BEDROOM/
16,91:60:100:96,39,NIGHT,CHARLES RIVER/JOEL'S BEDROOM/CHINESE RESTAURANT/
17,68:143:102:136:111:114:115,39,NIGHT,CHARLES RIVER/BUILDING STAIRWAY/RESTAURANT/ROB AND CARRIE'S CAR/BORDER'S BOOKSTORE/
18,71:73:77:80:75:78,34,DAY_NIGHT,KITCHEN/CLEMENTINE'S CAR/FOREST/MIERZWIAK'S BEDROOM/
19,85:88:89,24,DAY_NIGHT,BOY'S BEDROOM/RESTAURANT/SCHOOLYARD/
20,90:93:97:105,26,DAY_NIGHT,COUNTRY ROAD/SUBURBAN STREET/LACUNA RECEPTION AREA/COMMUTER TRAIN/
21,99:101:134:154:107:113:118:120,38,DAY_NIGHT,DRESS SHOP/LACUNA RECEPTION AREA/ROB AND CARRIE'S CAR/BEACH PARKING LOT/ROWBOAT/ROOM/BORDER'S BOOKSTORE/
22,112:153:119:146:124,32,DAY_NIGHT,HOUSE/ROB AND CARRIE'S KITCHEN/PARK/
23,129:130:140:152:149:155:157:156:161,39,DAY,LACUNA LTD. WAITING ROOM/COMMUTER TUBE/PATRICK'S CAR/PARKING STRUCTURE/VAGUE SPACE/MARY'S APARTMENT/
24,159:163,17,DAY_NIGHT,OLD MAN'S OFFICE/SECOND OLD WOMAN'S APARTMENT/
