1,1,"CLARICE STARLING",PERSON_INTRO,"concentration. This is CLARICE STARLING, mid-20's, trim,",0.7,null
2,2,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/Freeze! FBI!",0.8,NameDatabase@34ce8af7
2,2,"BRIGHAM",SPEAKER_WITH_VO_OS,"BRIGHAM (O.S.)/Okay, people, good exercise...",1.0,NameDatabase@34ce8af7
2,2,"BRIGHAM",SPEAKER_ABOVE_DIALOGUE,"BRIGHAM/Starling's reaction time was",0.7,NameDatabase@34ce8af7
2,2,"ARDELIA",SPEAKER_ABOVE_DIALOGUE,"ARDELIA/Damn, Clarice, how'd you make me?",0.8,NameDatabase@34ce8af7
2,2,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/(indicating her gun)",0.8,NameDatabase@34ce8af7
2,2,"ARDELIA",SPEAKER_ABOVE_DIALOGUE,"ARDELIA/(grins)",0.8,NameDatabase@34ce8af7
2,2,"BRIGHAM",SPEAKER_ABOVE_DIALOGUE,"BRIGHAM/What're you laughin' at, Junior G-",0.7,NameDatabase@34ce8af7
2,2,"BRIGHAM",SPEAKER_ABOVE_DIALOGUE,"BRIGHAM/(continuing)",0.7,NameDatabase@34ce8af7
2,2,"SPECIAL AGENT JACK CRAWFORD",SPEAKER_ABOVE_DIALOGUE,"SPECIAL AGENT JACK CRAWFORD/sits on the top step of the aisle, looking down at her. He",1.0,NameDatabase@34ce8af7
2,2,"CLARICE",SPEAKER_ABOVE_DIALOGUE,"CLARICE/What'd I do?",0.8,NameDatabase@34ce8af7
2,2,"ARDELIA",SPEAKER_ABOVE_DIALOGUE,"ARDELIA/Stay cool. Just remember to call him",0.8,NameDatabase@34ce8af7
2,2,"JOHN BRIGHAM",NAMEFINDER_ME,"as a training set . JOHN BRIGHAM walks onto this set ,",1.0,NameDatabase@34ce8af7
2,2,"As Brigham",NAMEFINDER_ME,"when you talk dirty . As Brigham joins them , Clarice can",1.0,NameDatabase@34ce8af7
2,2,"FEMALE HOSTAGE",PERSON_ADJ,"edge of a bed - a FEMALE HOSTAGE. Black, late 20's, gagged,",0.7,null
2,2,"MALE SUSPECT",PERSON_ADJ,"MALE SUSPECT, white, mid-20's, standing by a window with a",0.7,null
